text	labels
The difference in motor function in the early and later stage may be partially due to differences in expression of IL-1beta and NT-3 after either treatment , through an IL-1beta-dependent or NT-3-mediated repair response .	2
To investigate the additional diagnostic value of sural nerve biopsy of 64 patients in whom chronic inflammatory demyelinating polyneuropathy ( CIDP ) was considered , as sural nerve biopsy is recommended in the research criteria of an ad hoc subcommittee to	0
Firstly , the additional diagnostic value of sural nerve biopsy was analysed with multivariate logistic regression .	3
Six clinical features ( remitting course , symmetric sensorimotor neuropathy in arms and legs , areflexia , raised CSF protein concentration , nerve conduction studies consistent with demyelination , and absence of comorbidity or relevant laboratory abnormalities ) were entered into a logistic model .	1
Afterwards , all significant features identified from this model , as well as the results of sural nerve biopsy were forced into a second logistic model .	1
Secondly , the diagnostic performance of a neurologist experienced in diagnosis of peripheral nerve disorders was studied by receiver operating characteristics ( ROC ) curve analysis .	1
The results of the first logistic analysis showed that CSF protein concentration > 1 g/l ( odds ratio ( OR ) = 38.5 ) and neurophysiological studies consistent with demyelination ( OR = 51.7 ) were strong predictors of CIDP .	2
When forcing the significant features and the sural nerve biopsy data into the model , an independent predictive value of sural nerve biopsy could not be found .	2
The neurologist was able to discriminate patients with and without CIDP ( area under the curve ( AUC ) = 0.95 ) .	2
His diagnostic performance did not improve significantly by offering him the results of sural nerve biopsy .	2
Any additional diagnostic value of sural nerve biopsy in the diagnosis of CIDP could not be shown .	2
Numerous studies have demonstrated that lesions in the CNS can alter the density of sensory nerve processes in peripheral organs .	0
In the present study , rat spinal cords were transected at the second lumbar segmental level and the density of calcitonin gene-related peptide ( CGRP ) - immunoreactive nerve fibers in the urinary bladder was examined .	4
Additional rats had spinal cord transections followed by 12 days of treatment with the N-methyl-D-aspartate receptor antagonist , MK-801 .	3
In the bladders of control rats , CGRP-immunoreactive fibers were present as thick nerve trunks , perivascular plexi , and a fine meshwork of varicose nerve fibers .	2
Twelve days following a spinal cord transection , the density of CGRP-immunoreactive nerve fibers was markedly reduced ; occasional fibers appeared primarily as nonvaricose fine fibers .	2
In bladders from rats receiving a spinal cord transection and MK-801 treatment , CGRP-immunoreactive fibers were abundantly distributed throughout the detrusor muscle ; these fibers exhibited numerous varicosities as well as some enlarged terminal varicosit	2
These data demonstrate that ( i ) an upper motor neuron-type lesion markedly decreases the density of CGRP-immunoreactive peripheral afferent nerve processes and ( ii ) following a spinal cord transection , MK-801 appears to enhance the density of CGRP immunos	2
Several medications have recently been introduced for the treatment of depression .	0
We searched the literature published from 1980 to January 1998 using the Cochrane Collaboration Depression Anxiety and Neurosis Group 's specialized registry of 8,451 clinical trials , references from trials and 46 pertinent meta-analyses , and consultation with experts .	1
We included randomized controlled trials of at least 6 weeks ' duration that measured clinical outcomes and compared one of 32 newer medications with another newer antidepressant , an older antidepressant , a placebo , or a psychosocial intervention for the t	4
The primary outcome was response rate , defined as the proportion of patients experiencing a 50 % or greater improvement in depressive symptoms .	1
There were 28 randomized controlled trials involving 5,940 adult primary care patients with major depression , depression requiring treatment , dysthymia , or mixed anxiety depression .	2
Newer agents , including selective serotonin re-uptake inhibitors , serotonin norepinephrine inhibitors , reversible inhibitors of monoamine oxidase , and dopamine antagonists , were usually compared with tricyclic agents .	1
Average response rates were 63 % for newer agents , 35 % for placebo , and 60 % for tricyclic agents .	2
Response rates were similar in the different types of depress	2
Dropout rates as a result of adverse effects were 8 % with newer agents and 13 % with tricyclic agents ( P < 0.05 ) .	2
In primary care settings , newer antidepressants are more effective than placebo and have similar efficacy compared with tricyclic agents in the acute treatment of depression .	2
Dropout rates as a result of adverse effects are lower with newer compared with tricyclic agents .	2
Future studies should compare the effectiveness of different therapies among primary care patients with less severe depression and greater medical and psychiatric comorbidity .	2
Persons identified as meeting DSM-III-R ( American Psychiatric Association , 1987 ) or DSM-IV ( American Psychiatric Association , 1994 ) criteria for borderline personality disorder were invited to participate in a private interview focusing on what it means t	4
The data were analyzed using the procedures of interpretive phenomenological data analysis ( Benner , 1994 ; Diekelmann , Allen , & Tanner , 1989 ) .	1
Three themes were identified : ( a ) living with a label , ( b ) living with self-destructive behavior perceived as manipulation , and ( c ) living with limited access to care .	2
The findings suggest that mental health care for persons with borderline personality disorder could be improved by confronting prejudice , understanding self-harm , and safeguarding opportunities for dialogue .	2
CHARM ( candesartan in heart failure assessment of reduction in mortality and morbidity ) is the largest trial program in chronic heart failure .	0
To elucidate the effect of candesartan on various symptomatic chronic heart failure , the randomization protocol was used in 3 separate trial arms : 2028 with LVEF < 40 % who could not tolerate ACE inhibitors ; 2548 with LVEF < 40 % who already were taki	4
The overall mortality benefit of the candesartan was better than placebo .	2
In the 2 trial arms that included patients with LVEF < 40 % , incidence of the mortality and hospitalization was significantly lower with candesartan than with placebo .	2
It may be the new evidence of angiotensin receptor blocker on 3 other types of heart failure .	2
An 11-month-old infant presented with acute urinary retention .	4
He had presented 3 months earlier with complaints of an enlarging abdominal mass that was initially diagnosed as a mesenteric cyst on ultrasonography .	0
Voiding cystourethrogram revealed a large bladder diverticulum .	0
Bladder diverticulum should be a differential diagnosis in children , especially male , presenting with urinary retention , fever and an abdominal mass .	2
Spinal hematoma is a rare and potentially catastrophic complication of spinal or epidural anesthesia .	0
Risk factors include traumatic needle/catheter placement , sustained anticoagulation in an indwelling neuraxial catheter , and catheter removal during therapeutic levels of anticoagulation .	0
Generally , a patient 's coagulation status should be optimized at the time of spinal or epidural needle/catheter placement , and the level of anticoagulation should be monitored during epidural catheterization .	0
Signs of cord compression , such as severe back pain , progression of numbness or weakness , and bowel and bladder dysfunction , warrant immediate radiographic evaluation .	0
A delay in diagnosis and intervention of spinal hematoma may lead to irreversible cord ischemia .	0
This study was a retrospective data-base review of patients with cervical injuries admitted to a regional spinal cord injury center over a 9-year period .	4
Patients < 40 and > or = 65 were analyzed separately to determine differences in etiology , neurologic findings , mortality , and neurologic recovery .	1
Previous studies of cervical injuries in older patients have found a high percentage of falling as an etiology , a high incidence of injuries to C2 , and a high mortality rate with spinal cord injury ( SCI ) .	0
Three databases containing information on all SCI patients , SCI patients with 1-2 year follow-up , and neurogically intact spinal injury patients were reviewed retrospectively .	1
A higher percentage of older patients had cervical injuries , and this group did not show the typical male predominance seen in young patients ( 4:1 vs. 1:1 ) .	2
Neurologic deficits were more common in the younger age group .	2
In the older patients , falls were a much more common etiology , and upper cervical injuries , especially odontoid fractures , predominated .	2
Cervical spondylosis and stenosis were more common in the older patients , and the mortality with associated SCI was 60 times higher than in younger patients .	2
Younger patients more commonly had complete neurologic injuries , but had more early functional motor return in incomplete lesions .	2
The older patients did show late functional return in incomplete deficits .	2
Cervical spine injury commonly occurs with relatively minor trauma in patients > or = 65 , with a mortality rate of approximately 26 % with associated SCI .	2
Return of functional motor recovery is delayed in older patients with incomplete deficits , but can be expected .	2
C2 injuries , especially odontoid fractures , must be ruled out in older patients with neck pain after even a minor injury .	2
This study was conducted to evaluate the effects of dorsal rhizotomy on upper-limb spasticity , functional improvement , coordination , and hand sensibility .	0
Fifteen spastic upper limbs in 13 patients were selected and prospectively studied .	4
Brachial plexus dorsal rhizotomy was performed in which two , three , or four dorsal roots were completely sectioned .	3
Patients were followed up for at least 12 months after surgery ; the mean follow-up period was 15.6 months and the maximum period was 30 months .	1
A remarkable relief of spasticity was observed in all cases .	2
Recurrence was observed in only one patient and was caused by insufficient dorsal root section .	2
Functional improvement was observed in all cases , and functional improvement in the hand was found to be related to the presence of active finger extension in the preoperative period .	2
Even when extended dorsal root section was performed , no hand anesthesia , either total or partial , was observed .	2
No patient lost movement ability in the postoperative period , and no ataxic limbs were observed .	2
Brachial plexus dorsal rhizotomy is very effective as a treatment for upper-limb spasticity and results in functional improvement without loss of sensation in the hand .	2
Several artemisinin ( qinghaosu ) derivatives have been developed and are in use as antimalarial drugs but scant animal or human toxicity data are available .	0
We noted a progressive syndrome of clinical neurological defects with cardio-respiratory collapse and death in 5/6 dogs dosed daily for 8 d with intramuscular arteether ( AE ) at 20 mg/kg/d in a pharmacokinetic study .	4
Neurological findings included gait disturbances , loss of spinal reflexes , pain response reflexes and prominent loss of brain-stem and eye reflexes .	2
Electrocardiography showed prolongation of the QT interval corrected for rate ( QTc ) .	2
Prominent neuropathic lesions were sharply limited to the pons and medulla .	2
Neurological injury , graded by a pathologist ` blinded ' to dose group , showed a dose-related region-specific injury which was most pronounced in the pons and medulla in all animals .	2
Rats treated with AE and artemether ( AM ) at 12.5 to 50 mg/kg/d for 28 d confirmed clinical neurological abnormalities with high doses ( > 25 mg/kg/d ) after 6-14 d.	2
Neuropathological examination of rat brain sections at 5 levels from the rostral cerebrum to the caudal medulla showed a dose-related pattern of injury characterized by hyalinized neuron cell bodies and loss of Nissl substance ; changes congruent with thos	2
( ABSTRACT TRUNCATED AT 250 WORDS )	2
The occurrence of pelvic insufficiency fractures in patients with rheumatoid arthritis has not previously been well emphasized .	0
These fractures are difficult to detect clinically , and appropriate radiological investigation is necessary for diagnosis .	0
A 72-year-old woman with rheumatoid arthritis presented with severe left groin pain .	0
Pelvic radiographs showed parasymphyseal fractures , and marked instability of these fractures was observed at the follow-up 2 weeks later .	0
Computed tomographic scan of the sacrum showed a widened linear fracture gap in the left sacral ala. .	0
Because the patient 's pain was so severe that she could not change position , external fixation was performed to achieve rapid pain relief and early mobilization .	3
Although most patients with these fractures respond well to simple conservative treatments , parasymphyseal fractures combined with sacral fractures may cause disruption of the pelvic ring and occasionally need operative management .	2
The treatment of bipolar depression represents a relatively understudied area in clinical psychiatry .	0
The depressive phases of bipolar disorder can be very disabling , with significant associated comorbidity and suicide risk , impairment in functioning , and infringement on quality of life .	0
We review the current evidence for the management of bipolar depression .	1
References for this review were obtained through MEDLINE searches of the medical literature on subjects pertaining to the treatment of bipolar depression .	1
Search terms included bipolar depression , antidepressants , and bipolar disorder .	1
Only publications in English are reviewed here .	1
Lithium is currently the gold standard and most appropriate initial treatment for the depressive phase of bipolar disorder .	2
Other mood stabilizers have demonstrated preliminary efficacy .	2
Of the antidepressants , bupropion and the selective serotonin reuptake inhibitors may be associated with less risk of inducing hypomania , mania , and rapid cycling compared with tricyclic antidepressants .	2
Monoamine oxidase inhibitors should be considered for patients with anergic bipolar depression .	2
Electroconvulsive therapy has been shown to be highly efficacious .	2
Other treatment modalities , including psychotherapy , sleep deprivation , phototherapy , and newer medications , require further research .	2
Although the treatment of bipolar depression can be a complicated clinical task , the treatment armamentarium is expanding .	2
Further research , especially in the form of randomized controlled trials , is warranted .	2
Clinicians should be familiar with general guidelines for the use of psychopharmacologic agents for treating bipolar depression .	2
The majority of tissue Doppler indexes proposed to predict left ventricular ( LV ) reverse remodelling in cardiac resynchronization therapy ( CRT ) reflects LV asynchrony as assessed in ejection phase .	0
We evaluated the predictive value of a new strain-imaging parameter reflecting the total amount of time spent by 12 LV segments in contracting after aortic valve closure .	3
Fifty-nine patients who fulfilled current treatment recommendations were studied before and 6 months after CRT .	4
Time to tissue Doppler systolic peak velocity ( Ts ) and time exceeding aortic closure ( ExcT ) in strain curves were measured in 12 LV segments .	1
Ts standard deviation ( Ts-SD ) and sum of ExcT of overall 12 LV segments ( oExcT ) were analysed .	1
After 6 months , responders were defined according to > or = 15 % LV end-systolic volume reduction .	1
Responders ( 47 % ) when compared with non-responders ( 53 % ) had significantly higher baseline Ts-SD and oExcT values .	2
Receiver operating characteristic ( ROC ) curve analysis demonstrated that an optimal cutoff value of 760 ms for oExcT yielded 93.5 % sensitivity and 82.8 % specificity .	2
For Ts-SD at the cutoff of 32 ms , 82 % sensitivity and 39 % specificity were obtained .	2
Area under ROC was significantly larger for oExcT than for Ts-SD .	2
o-ExcT is able to predict LV reverse remodelling after CRT .	2
The UK dietary guidelines for cardiovascular disease acknowledge the importance of long-chain omega-3 polyunsaturated fatty acids ( PUFA ) - a component of fish oils - in reducing heart disease risk .	0
At the time , it was recommended that the average n-3 PUFA intake should be increased from 0.1 to 0.2 g day ( -1 ) .	0
However , since the publication of these guidelines , a plethora of evidence relating to the beneficial effects of n-3 PUFAs , in areas other than heart disease , has emerged .	0
The majority of intervention studies , which found associations between various conditions and the intake of fish oils or their derivatives , used n-3 intakes well above the 0.2 g day ( -1 ) recommended by Committee on Medical Aspects of Food Policy ( COMA ) .	0
Furthermore , in 2004 , the Food Standards Agency changed its advice on oil-rich fish creating a discrepancy between the levels of n-3 PUFA implied by the new advice and the 1994 COMA guideline .	0
This review will examine published evidence from observational and intervention studies relating to the health effects of n-3 PUFAs , and discuss whether the current UK recommendation for long-chain n-3 PUFA needs to be revisited .	0
Traumatic brain injury ( TBI ) subjects at Glasgow Outcome Scale levels 3 ( severe disability ) , 4 ( moderate disability ) , 5 ( good recovery ) , and an other-injury control group ( OIC ) were compared in terms of neuropsychological , psychosocial , and vocational fun	0
Subjects were a sample of 100 patients with a moderate to severe traumatic brain injury ( TBI ) and a matched sample of 30 other-injury control subjects ( OIC ) enrolled in the UCLA Brain Injury Research Center study of TBI outcome .	4
Overall , the results showed a systematic decrease in mean neuropsychological test performance as a function of increasing GOS severity , as well as an increased prevalence of symptoms of depression and lower ratings on measures assessing employability and	2
TBI patients in the ` severe ' and ` moderate disability ' groups were distinctly inferior to the ` good recovery ' and ` OIC ' groups , who were quite similar to each other in terms of cognitive , psychosocial , and vocational outcomes .	2
The results demonstrate overall support for the predictive and concurrent validity of the GOS 6 months post injury .	2
Despite these results , which strengthen the utility and appeal of the GOS for multicentre studies , concerns still remain regarding GOS category 4 ( moderate disability ) , which was shown to lack sufficient discriminability in this study .	2
Antigens associated with ovarian cancer tissue have been identified by the use of heteroantisera .	0
It has also been reported that lymphocytes from patients with ovarian cancer responded to phytohemagglutinin ( PHA ) and keyhole-limpet hemocyanin ( KLH ) but had failed to respond to autologous tumor extracts .	0
In our series , pretreatment sera from 37 patients with stage III and IV ovarian cancer failed to react with ovarian cancer antigen preparations .	4
After therapy , serum from only three patients was reactive : all three patients were treated by chemoimmunotherapy .	2
Preliminary data from this clinical trial for treating stage III and IV ovarian cancer with chemotherapy , immunotherapy , or combined chemoimmunotherapy show that survival of patients treated by chemotherapy or immunotherapy corresponded to that of nonresp	2
Interestingly , combined chemoimmunotherapy produced a survival curve depicting significant improvement , similar to that for the responders to L-PAM therapy reported in that study .	2
Antenatal betamethasone is routinely used for the prevention of neonatal respiratory distress syndrome in preterm infants .	0
However , little is known of the long term effects of exposure to antenatal betamethasone on lung function in adulthood .	0
Five hundred and thirty four 30 year olds whose mothers had participated in the first and largest randomised controlled trial of antenatal betamethasone were followed .	4
Lung function was assessed by portable spirometric testing .	3
The prevalence of asthma symptoms was assessed using the European Community Respiratory Health Survey questionnaire .	1
Fifty ( 20 % ) betamethasone exposed and 53 ( 19 % ) placebo exposed participants met the criteria for current asthma ( relative risk 0.98 ( 95 % CI 0.74 to 1.30 ) , p = 0.89 ) .	2
181 betamethasone exposed and 202 placebo exposed participants had acceptable spirometric data .	2
There were no differences in lung function between betamethasone and placebo exposed groups ( mean ( SD ) forced vital capacity in the betamethasone and placebo groups 105.9 ( 12.0 ) v 106.6 ( 12.6 ) % predicted , difference = -0.7 ( 95 % CI -3.2 to 1.8 ) , p = 0.59 ;	2
Antenatal exposure to a single course of betamethasone does not alter lung function or the prevalence of wheeze and asthma at age 30 .	2
Lung transplantation has emerged as an option to prolong and increase the quality of life in patients with end-stage pulmonary lung disease .	0
In lung transplant recipients , because of the high potential for acute and chronic allograft rejection , optimal selection , dosage and delivery of immunosuppressive medications is critical .	0
Cystic fibrosis ( CF ) , a multi-organ system disease that often includes pulmonary and gastrointestinal manifestations , represents the leading indication for bilateral lung transplantation .	0
The gastrointestinal manifestations of CF , however , confound post-transplant management by causing significant variation in the rate and extent of absorption of orally administered immunosuppressive medications .	0
Tacrolimus , a new calcineurin inhibitor , is increasingly employed as the primary immunosuppressive agent in lung transplant recipients .	0
Unfortunately , tacrolimus itself exhibits variable bioavailability , particularly in CF transplant recipients .	0
A novel approach to the absorption dilemma is administration of tacrolimus via the sublingual ( SL ) route .	0
Little published information exists concerning the use of SL immunosuppression in transplant recipients .	0
However , emerging evidence suggests that SL tacrolimus provides is an effective means of drug delivery particularly for CF lung transplant recipients .	0
Preliminary results from a pilot study , demonstrate that SL delivery of tacrolimus achieves therapeutic serum levels , in lung transplant recipients with CF , over the first few postoperative months .	2
In addition , the early postoperative use of SL tacrolimus has been associated with acceptable rates of transplant rejection and normal renal function in a cohort of 22 lung transplant recipients that included CF and non-CF transplant recipients .	2
Potential pharmacokinetic advantages of the SL route of delivery include good permeability , rapid absorption , acceptable bioavailability and easy accessibility .	2
From an economic standpoint , considerable cost savings could be achieved by using the SL rather than the intravenous route of drug delivery for tacrolimus .	2
Comparative , prospective randomized trials are necessary to evaluate the long-term safety and efficacy of SL tacrolimus in lung transplant patients .	2
Until such data are available , the use of SL tacrolimus should be considered in situations where alternative routes of delivery are unavailable or as part of ongoing research studies .	2
Ultimately , SL tacrolimus may prove efficacious for short-term use in the early postoperative lung transplant recipients , particularly in patients with malabsorption problems such as CF transplant recipients .	2
Reactive oxygen species formation and release of pro-inflammatory/pro-atherogenic cytokines , that is , interleukin 1-beta and tumor necrosis factor-alpha , need the activation of the arachidonic acid cascade via the enzyme 5-lipoxygenase ( 5-Lox ) .	0
5-Lox activity and expression are significantly increased in peripheral blood mononuclear cells ( PBMCs ) of end-stage renal disease ( ESRD ) patients on maintenance hemodialysis ( HD ) .	0
Diets enriched with n-3 polyunsaturated fatty acids ( PUFAs ) ( omega-3 ) have been associated to a lower incidence of coronary heart disease ( CHD ) and a reduction in atherosclerotic lesions .	0
Omega-3 may interfere with the arachidonic acid cascade by inhibiting 5-Lox .	0
Lipid peroxidation , leukotriene B ( 4 ) ( LTB ( 4 ) ) production , 5-Lox activity and expression were investigated in PBMC isolated from ESRD patients under maintenance HD before and after a 3-month oral supplementation with omega-3 at a daily dose of 2700 mg of n	4
PBMCs from non-uremic volunteers were also investigated for comparison to normal parameters .	1
Administration of omega-3 reduced significantly lipid peroxidation ( P < 0.0001 ) , LTB ( 4 ) synthesis ( P < 0.0001 ) and 5-Lox activity ( P < 0.0001 ) , with no effect on 5-Lox protein expression .	2
After the 3-month washout , all parameters were comparable to those observed before treatment .	2
Our results resemble those obtained after oral administration of vitamin E and are consistent with a reversible , dose-dependent inhibition of 5-Lox by omega-3 .	2
Upregulation of 5-Lox may also be related to the increased mitochondrial damage and apoptosis of PBMCs observed in ESRD patients compared to non-uremic controls .	2
Omega-3 may thus protect PBMCs of ESRD patients against oxidative stress .	2
Middle-aged and elderly women with no specific disabilities in their daily life were divided into two groups : those visiting clinics with mild physical symptoms and those not visiting clinics .	4
Those visiting clinics showed significantly lower mental and physical health indices , but satisfaction and emotional support were similar .	2
Although those visiting clinics had significantly more stressful events , no differences were seen in ways they were dealt with .	2
For those not visiting clinics , mental and physical health indices were better in their 60s than in their 50s and got worse again in their 70s , while for those visiting clinics indices were consistently low .	2
Somatic symptoms in the women visiting clinics could be somatic reactions to their life situation from their 50s to their 60s .	2
To compare the outcome of non-operative treatment with the outcome of surgical intraventricular drainage for patients with posttraumatic hydrocephalus including complications , mortality and favorable outcome .	0
Thirty-nine patients were assigned to a nonoperative treatment group and 38 patents to a surgical intraventricular drainage group .	4
Each patient 's outcome was evaluated 3 years after treatment by using Glasgow Outcome Scale .	1
In the nonoperative treatment group the rate of favor able outcome ( good recovery or mild disability ) was 89.74 % ( 35 of 39 patients ) and the mortality was 2.56 % ( 1 of 39 patients ) .	2
In the surgical intraventricular drainage group the rate of favorable outcome was 71.05 % ( 27 of 38 patients ) and the mortality was 13.16 % ( 5 of 38 patients ; P < 0.05 ) .	2
Mortality was not significantly different between the two groups .	2
Nonoperative treatment may be better than surgical intraventricular drainage for patients with posttraumatic hydrocephalus .	2
To compare the t-scores of proximal femur and lumbar spine of patients with spinal cord injury ( SCI ) with different levels of weight bearing .	0
Cross-sectional study comparing 3 groups of patients with SCI : patients with daily standing times of more than 1 hour , patients with daily standing times of less than 1 hour , and nonstanding patients .	4
Seventy-one patients with chronic SCI were recruited .	4
They were assigned to 1 of 3 groups according to their reported daily standing time .	1
The bone density of lumbar and proximal femoral regions was measured with dual-energy x-ray absorptiometry .	1
The 3 groups were similar in terms of demographics and clinical variables .	2
No significant difference was found among the mean t-scores of lumbar and proximal femoral regions of the groups .	2
However , the patients in the group that stood more than 1 hour daily had a slight tendency to have higher t-scores than those in the control group .	2
There was no significant difference among the 3 groups .	2
However , standing might be partially helpful in protecting the bone density in SCI by opposing the effects of immobilization .	2
A double-blind crossover comparison of three different single doses of a selective serotonin reuptake inhibitor , zimelidine , and a placebo on quantified EEG parameters and psychological variables was carried out in ten healthy male volunteers .	4
Each subject randomly received 100 mg , 200 mg and 300 mg of zimelidine as well as placebo .	3
C4 -- P4 , P4 -- O2 , C3 -- P3 , P3 -- O1 and Fz -- O1 EEG samples were taken by means of collodium Ag/AgCl stick on electrodes .	1
3 min average Fast Fourier Transformation power spectra based on 5 sec epochs were established .	1
Additionally , performance tests and a subjective self-rating were carried out .	1
The measurements , performed according to a strictly controlled schedule , were repeated 1 , 2 , 4 and 6 h post baseline ( i.e. 8 a.m. ) .	1
